# Accordion Thief Buffs
The Moxious Madrigal	type:"at", alias:"Moxious Madrigal"
The Magical Mojomuscular Melody	type:"at", alias:"Mojomuscular Melody"
Cletus's Canticle of Celerity	type:"at", alias:"Canticle of Celerity"
Power Ballad of the Arrowsmith	type:"at", alias:"Power Ballad"
Polka of Plenty	type:"at", alias:"Polka of Plenty"
Jackasses' Symphony of Destruction	type:"at", alias:"Jackasses'"
Fat Leon's Phat Loot Lyric	type:"at", alias:"Phat Loot"
Brawnee's Anthem of Absorption	type:"at", alias:"Brawnee's"
Psalm of Pointiness	type:"at", alias:"Pointiness"
Stevedave's Shanty of Superiority	type:"at", alias:"Shanty of Superiority"
Aloysius' Antiphon of Aptitude	type:"at", alias:"Antiphon"
Ode to Booze	type:"at", alias:"Ode to Booze"
The Sonata of Sneakiness	type:"at", alias:"Sonata of Sneakiness"
Carlweather's Cantata of Confrontation	type:"at", alias:"Cantata of Confrontation"
Ur-Kel's Aria of Annoyance	type:"at", alias:"Urkel's"
Dirge of Dreadfulness	type:"at", alias:"Dirge of Dreadfulness"
The Ballad of Richie Thingfinder	type:"at", alias:"Thingfinder"
Benetton's Medley of Diversity	type:"at", alias:"Benetton's"
Elron's Explosive Etude	type:"at", alias:"Elron's"
Chorale of Companionship	type:"at", alias:"Chorale of Companionship"
Prelude of Precision	type:"at", alias:"Prelude of Precision"
Donho's Bubbly Ballad	type:"at", alias:"Donho's Bubbly Ballad"
Cringle's Curative Carol	type:"at", alias:"Cringle's Curative Carol"
Inigo's Incantation of Inspiration	type:"at", alias:"Inigo's"
Rolando's Rondo of Resisto	type:"at", alias:"Rondo of Resisto"
Paul's Passionate Pop Song	type:"at", alias:"Passionate Pop Song"

#Turtle Tamer Buffs
Ghostly Shell	type:"tt"
Tenacity of the Snapper	type:"tt"
Empathy	type:"tt"
Reptilian Fortitude	type:"tt"
Astral Shell	type:"tt"
Jingle Jangle Jingle	type:"tt", alias:"Jingle Bells"
Curiosity of Br'er Tarrypin	type:"tt", alias:"Curiosity"

#Seal Clubber Buffs
Rage of the Reindeer	type:"sc"
Musk of the Moose	type:"sc"
Snarl of the Timberwolf	type:"sc"
A Few Extra Pounds	type:"sc"
Iron Palms	type:"sc"

#Pastamancer Buffs
Springy Fusilli	type:"pm"
Leash of Linguini	type:"pm"
